maker,name,price,url
NEC エヌイーシー,PC-A2797CAB [デスクトップパソコン 27.0型/Core i7-10510U/メモリ 16GB/SSD 256GB + HDD 4TB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ブラック],"￥236,280",/product/100000001006575785/
富士通 FUJITSU,FMVF60F3WC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen5 5500U/メモリ 16GB/SSD 256GB＋HDD 1TB/DVDドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト/ヨドバシカメラ限定モデル],"￥199,800",/product/100000001006585843/
DELL デル,FI557YD-BWHBSC [Inspiron 24 5000 フレームレスデスクトップ/第11世代 インテル Core i5-1135G7 プロセッサー/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home＆Business 2021/シルバー/ヨドバシカメラ限定モデル/Dellデータ移行サービス付帯モデル],"￥152,800",/product/100000001006780233/
HP,9EH12AA-AACI [HP 24-df0000 AiO G1モデル Core i5-10400T/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home （64bit）/Microsoft Office Home & Business 2019/ピュアホワイト],"￥131,780",/product/100000001006883458/
富士通 FUJITSU,FMVF70F3BC [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen7 5700U/メモリ 16GB/SSD 512GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック/ヨドバシカメラ限定モデル],"￥244,800",/product/100000001006585841/
ミニズフォーラム MINISFORUM,HX90-32/512-W10Pro（5900HX） [小型デスクトップパソコン/AMD Ryzen 9 5900HX/メモリ 32GB/ストレージ M.2 2280 SSD NVMe 512GB/windows 10 Pro 64bit],"￥123,000",/product/100000001006768846/
富士通 FUJITSU,FMVF60F3W [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Ryzen5 5500U/メモリ 8GB/SSD 512GB/DVDドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ホワイト],"￥159,280",/product/100000001006585842/
レノボ･ジャパン Lenovo,90RW002PJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen7 5700Gプロセッサー/NVIDIA GeForce RTX 3060/SSD 1TB/メモリ 16GB/Windows 10 Home 64bit/ブラック],"￥199,980",/product/100000001006319716/
NEC エヌイーシー,PC-A2335CAW [デスクトップパソコン 23.8型/Core i3-10110U/メモリ 8GB/SSD 512GB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ホワイト],"￥164,780",/product/100000001006575790/
ミニズフォーラム MINISFORUM,HM50-16/512-W10Pro（4500U） [小型デスクトップパソコン/CPU：AMD Ryzen 5 4500U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB/windows 10 Pro 64bit],"￥80,300",/product/100000001006146954/
HP,180Q3AA-AACH [HP 24-df0000 AiO G1モデル Core i7-10700T/メモリ 16GB/SSD 256GB＋HDD 2TB/NVIDIA GeForce MX330 グラフィックス/Windows 11 Home （64bit）/Microsoft Office Home & Business 2019/ピュアホワイト],"￥164,780",/product/100000001006883460/
レノボ･ジャパン Lenovo,90RW002QJP [ゲーミングデスクトップパソコン IdeaCentre Gaming 560/AMD Ryzen5 5600Gプロセッサー/NVIDIA GeForce GTX 1660 SUPER/SSD 512GB/メモリ 8GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥140,540",/product/100000001006319717/
富士通 FUJITSU,FMVF90F3B [デスクトップパソコン/FMV/FHシリーズ/27.0型ワイド/Core i7-1165G7/メモリ 16GB/SSD 256GB＋HDD 4TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック],"￥253,850",/product/100000001006585838/
レノボ･ジャパン Lenovo,F0FY0025JP [IdeaCentre AIO360/27型/AMD Ryzen 7 5700U プロセッサー/メモリ16GB/SSD512GB（PCIe NVMe/M.2）/Windows 11 Home 64bit（日本語版）/Microsoft Office Home ＆ Business 2021/ホワイト],"￥155,100",/product/100000001006809888/
ASUS エイスース,A5401W-R75700LU [ASUS Zen AiO 23.8型/AMD Ryzen 7 5700U/メモリ 16GB/SSD 512GB/Windows 10 Home 64ビット/Microsoft Office Home and Business 2019/ホワイト],"￥139,800",/product/100000001006089920/
マウスコンピューター mouse computer,PCMI114P21J [Windows11 Pro搭載デスクトップパソコン/Corei5-11400/メモリ 8GB/SSD 512GB （NVMe）/インテル UHD グラフィックス 730/DVDスーパーマルチドライブ/Windows11 Pro 64bit],"￥124,800",/product/100000001006821763/
富士通 FUJITSU,FMVF77F3B [デスクトップパソコン/FMV/FHシリーズ/23.8型ワイド/Core i7-1165G7/メモリ 8GB/SSD 256GB＋HDD 1TB/BDXLドライブ/Windows 11 Home 64ビット/Office Home and Business 2021/ブラック],"￥219,780",/product/100000001006585839/
NEC エヌイーシー,PC-A2377CAW [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 1TB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ホワイト],"￥230,780",/product/100000001006575786/
HP,9EH12AA-AACH [HP 24-df0000 AiO G1モデル Core i5-10400T/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 11 Home （64bit）/ピュアホワイト],"￥109,780",/product/100000001006883457/
レノボ･ジャパン Lenovo,90NB00J0JP [IdeaCentre350i Celeron プロセッサー G5905/HDD：1TB （7200rpm/シリアルATA/3.5インチ）/メモリ：4GB/Windows 11 Home 64bit （日本語版）/Microsoft Office Home ＆ Business 2021/グレー],"￥85,580",/product/100000001006815012/
DELL デル,FI557YD-BWHBBC [Inspiron 24 5000 フレームレスデスクトップ/第11世代 インテル Core i5-1135G7 プロセッサー/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home＆Business 2021/ブラック/ヨドバシカメラ限定モデル/Dellデータ移行サービス付帯モデル],"￥152,800",/product/100000001006780232/
DELL デル,FI779-BWHBSC [Inspiron 27 7000 フレームレスデスクトップ/一体型デスクトップ/第11世代 インテル Core i7-1165G7 プロセッサー/メモリ 8GB/SSD 512GB＋HDD 1TB/Windows 11 Home/Office Home＆Business 2021/シルバー],"￥186,800",/product/100000001006780272/
HP,180Q3AA-AACG [HP 24-df0000 AiO G1モデル Core i7-10700T/メモリ 16GB/SSD 256GB＋HDD 2TB/NVIDIA GeForce MX330 グラフィックス/Windows 11 Home （64bit）/ピュアホワイト],"￥142,780",/product/100000001006883459/
NEC エヌイーシー,PC-A2365CAW [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 512GB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ホワイト],"￥192,280",/product/100000001006575788/
NEC エヌイーシー,PC-A2365CAB [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 512GB/Windows 11 Home/Microsoft Office Home ＆ Business 2021/ブラック],"￥192,280",/product/100000001006575789/
レノボ･ジャパン Lenovo,90NB00HPJP [IdeaCentre350i Celeron プロセッサー G5905/HDD：1TB （7200rpm/シリアルATA/3.5インチ）/メモリ：4GB/Windows 11 Home 64bit （日本語版）/Non Office/グレー],"￥63,580",/product/100000001006815013/
ミニズフォーラム MINISFORUM,JB95-8/128-W10Pro （N5095） [超小型デスクトップパソコン/Intel Celeron N5095/メモリ 8GB/SSD 128GB/Windows 10 Pro搭載],"￥34,780",/product/100000001006817280/
HP,52M18PA-AAAB [HP Pavilion Desktop TP01-2000 G1モデル Ryzen 7 5700G/メモリ 16GB/SSD 256GB＋HDD 1TB/Windows 11 Home/Office Home ＆ Business 2019/ナチュラルシルバー],"￥143,000",/product/100000001006981432/
ASUS エイスース,D500SC-I511400A [デスクトップパソコン ASUS ExpertCenter D5 SFF D500SC Core i5-11400/メモリ 16GB/SSD 512GB+HDD 1TB/Windows 11 Home 64ビット/WPS/ブラック],"￥119,800",/product/100000001006971557/
